signal_date,entry_date,exit_date,entry_px,exit_px,bars_held,gross_ret,net_ret,truncated
2009-06-30,2009-07-01,2009-07-07,4293.587494628906,4200.889257373047,5,-0.02100270401552562,-0.021981251119559286,False
2009-07-08,2009-07-09,2009-07-15,4079.973625,4232.22995,5,0.0379405455102666,0.03690308226176264,False
2009-08-06,2009-08-07,2009-08-13,4593.277472314453,4603.6185000000005,5,0.0028528709107016326,0.0018504792017288718,False
2009-08-17,2009-08-18,2009-08-24,4390.81685,4641.406964746094,5,0.05770584455803629,0.05664862509955837,False
2009-10-27,2009-10-28,2009-11-04,4848.003769628906,4709.386564746094,5,-0.028009616215788125,-0.028981159629750564,False
2009-11-26,2009-11-27,2009-12-03,5006.551319628906,5130.160685253906,5,0.025304521546695602,0.024279688511479547,False
2010-01-21,2010-01-22,2010-01-29,5095.678147314453,4880.585189746094,5,-0.041636014197121596,-0.04259393747920226,False
2010-02-05,2010-02-08,2010-02-15,4756.776702685546,4800.509610253906,5,0.009799509331440692,0.008790174178459287,False
2010-05-19,2010-05-20,2010-05-26,4925.7770946289065,4915.924682373047,5,-0.001401194609877754,-0.002399334209562287,False
2010-06-01,2010-06-02,2010-06-08,4972.241225,4985.603967626953,5,0.0032892617122668444,0.0022864338131667328,False
2010-11-16,2010-11-18,2010-11-24,6077.772980371094,5863.990275,5,-0.034595444096080064,-0.03556040471065547,False
2010-12-09,2010-12-10,2010-12-16,5762.7283,5946.965375,5,0.032589828154834244,0.03155771316315836,False
2011-01-07,2011-01-10,2011-01-14,5903.070194628906,5652.8534397460935,5,-0.04181282228772765,-0.042770568843023105,False
2011-02-04,2011-02-07,2011-02-11,5431.778947314453,5308.407,5,-0.022126443008855246,-0.02310386689064714,False
2011-02-24,2011-02-25,2011-03-04,5322.6461196289065,5537.088375,5,0.04091301590913887,0.03987258155712681,False
2011-05-03,2011-05-04,2011-05-10,5569.370505371094,5539.587625,5,-0.004750650068185869,-0.0057454417526594526,False
2011-06-20,2011-06-21,2011-06-27,5282.384044628906,5524.942117626953,5,0.046546035081762804,0.045499970300922454,False
2011-08-05,2011-08-08,2011-08-12,5085.375252685547,5071.428310253907,5,-0.0021440251255195886,-0.003141422236279112,False
2011-08-18,2011-08-19,2011-08-25,4860.757594628906,4838.148217626954,5,-0.004054021736268787,-0.005049509728729529,False
2011-09-12,2011-09-13,2011-09-19,4979.293144628906,5030.440610253906,5,0.01087837855070184,0.00986796502461873,False
2011-09-22,2011-09-23,2011-09-29,4875.212125,5013.9455602539065,5,0.02907416164401133,0.028045560702166794,False
2011-11-21,2011-11-22,2011-11-29,4796.288552685547,4803.658567626953,5,0.002137710208085508,0.0011360333309486936,False
2011-12-08,2011-12-09,2011-12-15,4872.211225,4744.926192626954,5,-0.025540194496484148,-0.026514206196602053,False
2012-01-30,2012-01-31,2012-02-06,5126.787574999999,5360.041407373047,5,0.04612456023486655,0.04507891673505804,False
2012-02-27,2012-02-28,2012-03-05,5312.09315,5278.765992626953,5,-0.005677413114348884,-0.006671278461948149,False
2012-03-22,2012-03-23,2012-03-29,5257.226597314453,5177.296442626954,5,-0.014612808332847949,-0.015597742394170444,False
2012-05-08,2012-05-09,2012-05-15,4969.390272314453,4941.316964746094,5,-0.005052456400018945,-0.006046946416946142,False
2013-05-23,2013-05-24,2013-05-30,6012.503405371093,6122.212589746094,5,0.018857970900527876,0.0178395814515111,False
2013-05-31,2013-06-03,2013-06-07,5999.149302685547,5879.2357,5,-0.01940025107117216,-0.02038039989126239,False
2013-06-20,2013-06-21,2013-06-27,5641.591872314453,5680.645392626953,5,0.007526763958143778,0.006519700505413395,False
2013-08-06,2013-08-07,2013-08-14,5550.964594628906,5740.577114746094,5,0.03477916255974711,0.03374485924043191,False
2013-08-16,2013-08-19,2013-08-23,5499.199069628906,5470.108475,5,-0.0046929642484551115,-0.005687813592221369,False
2013-08-27,2013-08-28,2013-09-03,5235.020230371094,5339.847760253906,5,0.0206364818560294,0.01961631471390568,False
2013-09-03,2013-09-04,2013-09-11,5360.257497314453,5911.375957373047,5,0.10347755686697768,0.10237458674431488,False
2013-09-23,2013-09-24,2013-09-30,5856.7564999999995,5733.579214746094,5,-0.020444098260034127,-0.02142320371294848,False
2013-11-21,2013-11-22,2013-11-28,6029.158302685547,6090.0225426269535,5,0.01070122009754848,0.009690983648452445,False
2014-01-27,2014-01-28,2014-02-03,6133.689652685547,5999.999264746094,5,-0.021208981122754267,-0.022187322044537328,False
2014-07-08,2014-07-09,2014-07-15,7640.241580371094,7524.391907373047,5,-0.014572010830478654,-0.015556985670542978,False
2015-01-06,2015-01-07,2015-01-13,8121.085497314453,8296.910570507813,5,0.022263614080596072,0.021241820554484425,False
2015-03-09,2015-03-10,2015-03-16,8772.380925,8630.560445507812,5,-0.015576226160951001,-0.016560197247473374,False
2015-03-26,2015-03-27,2015-04-06,8398.5188,8657.302420507813,5,0.03143168063661261,0.030400723259880857,False
2015-05-06,2015-05-07,2015-05-13,8079.4231,8232.979560253907,5,0.019617456396248567,0.01859830781098548,False
2015-06-02,2015-06-03,2015-06-09,8234.919930371094,8019.993182373047,5,-0.02551491815745832,-0.026488955122292213,False
2015-08-24,2015-08-25,2015-08-31,7897.768522314453,7968.908414746094,5,0.00961318024198099,0.008604031332405615,False
2015-09-01,2015-09-02,2015-09-08,7859.0068973144525,7685.943525000001,5,-0.02143405961025624,-0.022412175557054104,False
2015-09-22,2015-09-23,2015-09-30,7739.671302685547,7946.515232373047,5,0.027341376830238184,0.02631450787638645,False
2016-01-07,2016-01-08,2016-01-14,7613.933397314453,7534.538764746094,5,-0.009833623277024639,-0.0108233343256946,False
2016-02-11,2016-02-12,2016-02-18,7025.756997314453,7189.592475,5,0.023933439165320092,0.022909976581992897,False
2016-04-05,2016-04-06,2016-04-12,7638.340619628906,7706.637510253907,5,0.00954687207255378,0.008537789440655752,False
2016-06-24,2016-06-27,2016-07-01,8041.761902685546,8325.851104492187,5,0.035948118717084254,0.03491264697915608,False
2016-11-11,2016-11-15,2016-11-21,8287.335064257812,7926.721367626953,5,-0.04293976698336077,-0.04389638711218624,False
