event_date,event_return,entry_date,entry_px,exit_date,exit_px,gross,net,retraced
2008-09-05,-0.021460332822775596,2008-09-08,4358.2998046875,2008-09-12,4228.4501953125,-0.029793638619202478,-0.03079363861920248,False
2008-09-15,-0.03678659692886699,2008-09-16,4072.550048828125,2008-09-22,4223.0498046875,0.03695467312984424,0.03595467312984424,False
2008-09-23,-0.022767882641835158,2008-09-24,4125.75,2008-09-30,3921.199951171875,-0.04957887628385749,-0.05057887628385749,False
2008-10-03,-0.033525267650920676,2008-10-06,3817.300048828125,2008-10-13,3490.699951171875,-0.08555787951657434,-0.08655787951657434,False
2008-10-15,-0.05122703451682897,2008-10-16,3333.85009765625,2008-10-22,3065.14990234375,-0.0805975636101337,-0.0815975636101337,False
2008-10-22,-0.05247457575951975,2008-10-23,3064.800048828125,2008-10-31,2885.60009765625,-0.05847035640722953,-0.05947035640722953,False
2008-11-05,-0.046831781900944836,2008-11-06,2998.449951171875,2008-11-12,2848.449951171875,-0.05002584750209882,-0.05102584750209882,False
2008-11-12,-0.030694350864978848,2008-11-14,2848.0,2008-11-20,2553.14990234375,-0.1035288264242451,-0.1045288264242451,False
2008-11-20,-0.03106265565702082,2008-11-21,2553.60009765625,2008-11-28,2755.10009765625,0.07890820500239681,0.07790820500239681,True
2008-12-01,-0.0262060153001048,2008-12-02,2672.89990234375,2008-12-08,2784.0,0.041565379069687935,0.040565379069687935,True
2008-12-17,-0.028733427251993127,2008-12-18,2955.35009765625,2008-12-24,2916.85009765625,-0.013027221387588717,-0.014027221387588718,False
2008-12-26,-0.020433034150140195,2008-12-29,2857.14990234375,2009-01-05,3121.449951171875,0.09250478898965597,0.09150478898965597,True
2009-01-07,-0.061809349610106756,2009-01-09,2919.949951171875,2009-01-15,2736.699951171875,-0.06275792498650723,-0.06375792498650723,False
2009-01-15,-0.03477589530497949,2009-01-16,2737.0,2009-01-22,2713.800048828125,-0.008476416211865234,-0.009476416211865235,False
2009-02-02,-0.03762005866406637,2009-02-03,2773.5,2009-02-09,2919.89990234375,0.05278525413511814,0.05178525413511814,True
2009-02-16,-0.03386643185136817,2009-02-17,2853.85009765625,2009-02-24,2733.89990234375,-0.0420310076590954,-0.0430310076590954,False
2009-03-02,-0.032221810950793794,2009-03-03,2672.14990234375,2009-03-09,2573.14990234375,-0.03704881972121654,-0.03804881972121654,False
2009-03-30,-0.041979638781970974,2009-03-31,2981.699951171875,2009-04-08,3342.949951171875,0.12115571852158391,0.12015571852158391,True
2009-04-16,-0.03290613365016992,2009-04-17,3369.5,2009-04-23,3423.699951171875,0.016085458130842945,0.015085458130842944,False
2009-04-28,-0.031023026612031712,2009-04-29,3371.64990234375,2009-05-07,3683.89990234375,0.09261044564055854,0.09161044564055854,True
2009-05-26,-0.028518746668491857,2009-05-27,4117.2998046875,2009-06-02,4525.25,0.09908197475638114,0.09808197475638114,True
2009-06-08,-0.034227910646094206,2009-06-09,4427.75,2009-06-15,4484.0,0.01270396928462536,0.01170396928462536,False
2009-06-15,-0.021686936436186022,2009-06-16,4478.10009765625,2009-06-22,4235.25,-0.05423060949069736,-0.05523060949069736,False
2009-06-30,-0.022739974997403434,2009-07-01,4292.2998046875,2009-07-07,4202.14990234375,-0.02100270401552562,-0.02200270401552562,False
2009-07-08,-0.029330224495622392,2009-07-09,4078.75,2009-07-15,4233.5,0.0379405455102666,0.0369405455102666,True
2009-08-06,-0.02314581012623862,2009-08-07,4591.89990234375,2009-08-13,4605.0,0.0028528709107016326,0.0018528709107016325,False
2009-08-17,-0.041953670928882025,2009-08-18,4389.5,2009-08-24,4642.7998046875,0.05770584455803629,0.05670584455803629,True
2009-10-27,-0.024985356670065073,2009-10-28,4846.5498046875,2009-11-04,4710.7998046875,-0.028009616215788125,-0.029009616215788125,False
2009-11-26,-0.02008556906467729,2009-11-27,5005.0498046875,2009-12-03,5131.7001953125,0.025304521546695602,0.0243045215466956,True
